,股票代码,交易日期,换手率,量比,市盈率,市净率
0,002030.SZ,20200331,7.2081,0.91,136.1166,5.8864
1,002030.SZ,20200330,6.3022,0.75,129.9152,5.6182
2,002030.SZ,20200327,7.9606,0.95,133.8402,5.7879
3,002030.SZ,20200326,11.577,1.4,137.3726,5.9407
4,002030.SZ,20200325,6.9366,0.74,130.4647,5.642
5,002030.SZ,20200324,7.0442,0.69,125.5978,5.4315
6,002030.SZ,20200323,8.3131,0.72,130.7002,5.6521
7,002030.SZ,20200320,7.9981,0.61,129.6012,5.6046
8,002030.SZ,20200319,11.0993,0.79,128.9733,5.5775
9,002030.SZ,20200318,12.6534,0.95,133.0552,5.754
10,002030.SZ,20200317,10.7596,0.85,120.9664,5.2312
11,002030.SZ,20200316,14.9195,1.28,133.4477,5.771
12,002030.SZ,20200313,16.3994,1.65,141.2975,6.1104
13,002030.SZ,20200312,15.7386,2.06,134.5467,5.8185
14,002030.SZ,20200311,8.8766,1.29,125.5978,5.4315
15,002030.SZ,20200310,7.3471,1.04,118.4544,5.1226
16,002030.SZ,20200309,10.0164,1.68,125.6763,5.4349
17,002030.SZ,20200306,7.6089,1.36,123.9493,5.3602
18,002030.SZ,20200305,4.3112,0.76,121.8299,5.2685
19,002030.SZ,20200304,5.2376,0.87,120.5739,5.2142
20,002030.SZ,20200303,8.2131,1.3,123.5569,5.3432
21,002030.SZ,20200302,4.4553,0.66,116.178,5.0241
22,002030.SZ,20200228,5.6576,0.84,114.765,4.963
23,002030.SZ,20200227,4.6247,0.69,114.3725,4.946
24,002030.SZ,20200226,7.2123,1.13,118.6899,5.1328
25,002030.SZ,20200225,9.7397,1.8,128.1098,5.5401
26,002030.SZ,20200224,6.3225,1.24,119.0824,5.1497
27,002030.SZ,20200221,5.7157,1.16,115.0005,4.9732
28,002030.SZ,20200220,4.4799,0.85,111.0756,4.8035
29,002030.SZ,20200219,5.6012,1.06,111.0756,4.8035
30,002030.SZ,20200218,4.989,0.88,117.5125,5.0818
31,002030.SZ,20200217,4.7934,0.74,116.0995,5.0207
32,002030.SZ,20200214,4.7989,0.57,113.823,4.9223
33,002030.SZ,20200213,6.2628,0.6,114.294,4.9427
34,002030.SZ,20200212,5.5356,0.45,118.9254,5.1429
35,002030.SZ,20200211,6.9068,0.5,118.9254,5.1429
36,002030.SZ,20200210,8.7396,0.71,121.1234,5.238
37,002030.SZ,20200207,14.6663,1.23,127.2463,5.5028
38,002030.SZ,20200206,16.0701,1.41,141.2975,6.1104
39,002030.SZ,20200205,15.5479,1.67,146.6355,6.3413
40,002030.SZ,20200204,14.1666,1.92,141.6115,6.124
41,002030.SZ,20200203,0.8419,0.11,128.7378,5.5673
42,002030.SZ,20200123,12.8353,2.59,117.0415,5.0615
43,002030.SZ,20200122,13.4863,5.45,106.5226,4.6066
44,002030.SZ,20200121,5.1432,3.12,106.2872,4.5964
45,002030.SZ,20200120,4.563,4.8,96.6318,4.1788
46,002030.SZ,20200117,0.7545,0.8,87.84,3.7986
47,002030.SZ,20200116,0.8273,0.81,88.2325,3.8156
48,002030.SZ,20200115,1.0953,1.07,89.8024,3.8835
49,002030.SZ,20200114,1.0149,0.95,88.782,3.8394
50,002030.SZ,20200113,1.0635,0.91,89.6454,3.8767
51,002030.SZ,20200110,0.7421,0.57,88.3895,3.8224
52,002030.SZ,20200109,1.197,0.74,89.1744,3.8564
53,002030.SZ,20200108,1.0917,0.5,87.2905,3.7749
54,002030.SZ,20200107,1.2209,0.59,88.939,3.8462
55,002030.SZ,20200106,1.578,0.84,88.8605,3.8428
56,002030.SZ,20200103,1.4592,0.88,88.3895,3.8224
57,002030.SZ,20200102,2.7794,2.33,89.5669,3.8733
