,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨日收盘价,涨跌额,涨跌幅,成交量,成交额
0,300760.SZ,20200331,258.7,265.0,256.2,261.7,258.69,3.01,1.1636,59283.01,1543671.732
1,300760.SZ,20200330,265.0,273.35,257.55,258.69,262.83,-4.14,-1.5752,82110.91,2164015.622
2,300760.SZ,20200327,273.7,273.87,257.0,262.83,268.7,-5.87,-2.1846,80827.76,2137395.465
3,300760.SZ,20200326,254.81,270.5,252.22,268.7,253.88,14.82,5.8374,91674.36,2415827.107
4,300760.SZ,20200325,247.82,254.91,247.82,253.88,243.2,10.68,4.3914,60960.81,1530765.715
5,300760.SZ,20200324,250.0,250.0,239.86,243.2,242.55,0.65,0.268,60815.19,1475452.22
6,300760.SZ,20200323,232.3,247.58,232.0,242.55,236.0,6.55,2.7754,92369.24,2248373.948
7,300760.SZ,20200320,230.1,237.91,228.0,236.0,226.29,9.71,4.291,81864.46,1917843.633
8,300760.SZ,20200319,232.52,235.9,220.0,226.29,234.5,-8.21,-3.5011,93983.88,2129149.998
9,300760.SZ,20200318,244.0,245.39,234.2,234.5,242.5,-8.0,-3.299,70040.55,1685785.266
10,300760.SZ,20200317,245.74,249.0,230.06,242.5,240.57,1.93,0.8023,68528.82,1642214.289
11,300760.SZ,20200316,250.0,260.41,238.0,240.57,246.26,-5.69,-2.3106,105552.19,2633528.317
12,300760.SZ,20200313,230.9,252.21,228.33,246.26,244.2,2.06,0.8436,96254.49,2320822.801
13,300760.SZ,20200312,255.68,255.79,241.0,244.2,249.0,-4.8,-1.9277,87439.52,2163913.399
14,300760.SZ,20200311,259.2,260.88,247.79,249.0,259.18,-10.18,-3.9278,68945.38,1731923.225
15,300760.SZ,20200310,264.0,267.55,247.06,259.18,266.7,-7.52,-2.8196,98251.41,2507553.457
16,300760.SZ,20200309,260.79,275.54,258.55,266.7,263.5,3.2,1.2144,66851.33,1793313.89
17,300760.SZ,20200306,255.0,269.5,254.58,263.5,261.22,2.28,0.8728,53645.03,1411106.285
18,300760.SZ,20200305,264.0,270.01,259.1,261.22,257.01,4.21,1.6381,70614.03,1860929.716
19,300760.SZ,20200304,264.0,264.0,251.77,257.01,261.99,-4.98,-1.9008,67065.07,1717656.591
20,300760.SZ,20200303,259.0,267.27,257.5,261.99,242.97,19.02,7.8281,103758.04,2735265.093
21,300760.SZ,20200302,246.0,247.5,240.01,242.97,239.0,3.97,1.6611,63696.42,1559040.032
22,300760.SZ,20200228,244.0,247.81,237.0,239.0,245.1,-6.1,-2.4888,104828.96,2545062.479
23,300760.SZ,20200227,248.5,250.9,242.75,245.1,247.9,-2.8,-1.1295,62561.84,1544157.073
24,300760.SZ,20200226,259.0,259.3,247.3,247.9,259.38,-11.48,-4.4259,79817.81,2007281.19
25,300760.SZ,20200225,251.0,264.49,248.08,259.38,250.08,9.3,3.7188,80600.33,2069578.375
26,300760.SZ,20200224,242.5,251.54,242.1,250.08,240.34,9.74,4.0526,81363.47,2012571.309
27,300760.SZ,20200221,233.15,242.38,230.07,240.34,234.99,5.35,2.2767,65664.27,1551603.404
28,300760.SZ,20200220,234.8,237.8,233.13,234.99,234.8,0.19,0.0809,48463.09,1138905.459
29,300760.SZ,20200219,239.01,241.98,234.0,234.8,242.29,-7.49,-3.0913,63000.96,1487769.392
30,300760.SZ,20200218,238.06,244.9,237.99,242.29,241.35,0.94,0.3895,38526.44,932507.762
31,300760.SZ,20200217,240.58,251.53,240.0,241.35,236.55,4.8,2.0292,62915.51,1535641.924
32,300760.SZ,20200214,226.0,241.0,225.8,236.55,227.1,9.45,4.1612,60357.3,1417828.253
33,300760.SZ,20200213,228.88,230.5,224.0,227.1,228.0,-0.9,-0.3947,43701.94,993511.49
34,300760.SZ,20200212,223.0,228.63,221.05,228.0,223.2,4.8,2.1505,52875.64,1197365.247
35,300760.SZ,20200211,224.18,226.5,220.68,223.2,225.43,-2.23,-0.9892,52449.33,1170743.057
36,300760.SZ,20200210,217.0,226.0,217.0,225.43,215.87,9.56,4.4286,94507.34,2097171.685
37,300760.SZ,20200207,221.9,225.0,212.12,215.87,221.84,-5.97,-2.6911,86639.29,1880189.753
