,股票代码,交易日期,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002030.SZ,20200331,16.55,17.45,16.07,17.34,16.55,0.79,4.7734,547895.67,925072.744
1,002030.SZ,20200330,17.02,17.65,16.5,16.55,17.05,-0.5,-2.9326,479038.09,812479.829
2,002030.SZ,20200327,17.6,17.6,16.88,17.05,17.5,-0.45,-2.5714,605092.3,1043666.078
3,002030.SZ,20200326,16.45,17.89,16.26,17.5,16.62,0.88,5.2948,879983.39,1529722.755
4,002030.SZ,20200325,16.16,16.95,15.7,16.62,16.0,0.62,3.875,527256.37,857993.67
5,002030.SZ,20200324,16.3,16.54,15.54,16.0,16.65,-0.65,-3.9039,535437.1,855897.67
6,002030.SZ,20200323,16.38,17.28,16.26,16.65,16.51,0.14,0.848,631888.53,1068497.914
7,002030.SZ,20200320,16.39,16.98,16.11,16.51,16.43,0.08,0.4869,607942.99,1010629.958
8,002030.SZ,20200319,16.89,17.49,15.8,16.43,16.95,-0.52,-3.0678,843674.87,1405543.915
9,002030.SZ,20200318,15.4,16.95,14.86,16.95,15.41,1.54,9.9935,961799.05,1526858.633
10,002030.SZ,20200317,17.0,17.2,15.33,15.41,17.0,-1.59,-9.3529,817847.83,1297429.43
11,002030.SZ,20200316,18.39,19.17,16.98,17.0,18.0,-1.0,-5.5556,1134050.75,2071406.739
12,002030.SZ,20200313,16.3,18.48,16.18,18.0,17.14,0.86,5.0175,1246535.95,2181583.385
13,002030.SZ,20200312,16.3,17.5,15.88,17.14,16.0,1.14,7.125,1196313.67,2002239.591
14,002030.SZ,20200311,15.4,16.38,14.85,16.0,15.09,0.91,6.0305,674723.15,1051438.062
15,002030.SZ,20200310,15.11,15.47,14.41,15.09,16.01,-0.92,-5.7464,558462.22,826187.642
16,002030.SZ,20200309,16.15,16.5,15.83,16.01,15.79,0.22,1.3933,761362.62,1230217.364
17,002030.SZ,20200306,15.6,16.2,15.59,15.79,15.52,0.27,1.7397,578365.2,923276.537
18,002030.SZ,20200305,15.38,15.59,15.17,15.52,15.36,0.16,1.0417,327699.13,504712.65
19,002030.SZ,20200304,15.52,15.65,14.92,15.36,15.74,-0.38,-2.4142,398117.84,608764.224
20,002030.SZ,20200303,14.85,15.98,14.65,15.74,14.8,0.94,6.3514,624289.96,961563.022
21,002030.SZ,20200302,15.02,15.16,14.36,14.8,14.62,0.18,1.2312,338652.8,496947.585
22,002030.SZ,20200228,14.3,15.28,14.14,14.62,14.57,0.05,0.3432,430040.36,640814.744
23,002030.SZ,20200227,15.37,15.37,14.43,14.57,15.12,-0.55,-3.6376,351532.09,517268.68
24,002030.SZ,20200226,16.06,16.32,15.01,15.12,16.32,-1.2,-7.3529,548219.51,856154.999
25,002030.SZ,20200225,15.01,16.49,14.89,16.32,15.17,1.15,7.5808,740323.74,1184216.021
26,002030.SZ,20200224,14.98,15.28,14.75,15.17,14.65,0.52,3.5495,480584.35,725363.936
27,002030.SZ,20200221,14.15,14.71,14.01,14.65,14.15,0.5,3.5336,434458.0,626897.522
28,002030.SZ,20200220,14.13,14.32,13.73,14.15,14.15,0.0,0.0,340520.22,476917.697
29,002030.SZ,20200219,14.97,14.97,14.13,14.15,14.97,-0.82,-5.4776,425757.38,613116.512
30,002030.SZ,20200218,14.9,15.14,14.74,14.97,14.79,0.18,1.217,379220.71,566864.045
31,002030.SZ,20200217,14.6,14.84,14.35,14.79,14.5,0.29,2.0,364352.89,533585.701
32,002030.SZ,20200214,14.69,14.95,14.22,14.5,14.56,-0.06,-0.4121,364772.57,532694.519
33,002030.SZ,20200213,15.28,15.33,14.4,14.56,15.15,-0.59,-3.8944,476042.98,701957.198
34,002030.SZ,20200212,15.0,15.44,14.8,15.15,15.15,0.0,0.0,420764.26,636068.898
35,002030.SZ,20200211,15.3,15.3,14.66,15.15,15.43,-0.28,-1.8146,524995.95,788014.248
36,002030.SZ,20200210,16.48,16.53,15.07,15.43,16.21,-0.78,-4.8118,664307.92,1029214.781
37,002030.SZ,20200207,17.59,17.97,16.2,16.21,18.0,-1.79,-9.9444,1114804.87,1876919.267
38,002030.SZ,20200206,18.0,19.24,17.81,18.0,18.68,-0.68,-3.6403,1221507.5,2268947.808
39,002030.SZ,20200205,17.44,19.69,17.02,18.68,18.04,0.64,3.5477,1181813.1,2171719.995
40,002030.SZ,20200204,18.04,18.04,16.4,18.04,16.4,1.64,10.0,1076823.78,1888395.935
41,002030.SZ,20200203,16.4,16.4,16.4,16.4,14.91,1.49,9.9933,63991.02,104945.272
42,002030.SZ,20200123,13.76,14.93,13.56,14.91,13.57,1.34,9.8747,975627.68,1391207.62
43,002030.SZ,20200122,14.26,14.49,13.51,13.57,13.54,0.03,0.2216,1025107.0,1436567.162
