,ts_code,trade_date,close,open,high,low,pre_close,avg_price,change,pct_change,vol,turnover_rate
0,885539.TI,20200331,1759.515,1784.218,1787.372,1757.465,1783.269,14.2505,-23.754,-1.332,24556782.0,2.596232
1,885539.TI,20200330,1783.269,1804.897,1827.665,1776.48,1813.375,13.5883,-30.106,-1.6602,31686091.0,3.350631
2,885539.TI,20200327,1813.375,1848.232,1849.825,1811.109,1823.501,15.4874,-10.126,-0.5553,27158854.0,2.873321
3,885539.TI,20200326,1823.501,1780.796,1832.855,1770.199,1784.046,14.6827,39.455,2.2115,28871394.0,3.09438
4,885539.TI,20200325,1784.046,1753.778,1786.469,1743.681,1719.677,12.7071,64.369,3.7431,27691864.0,2.96796
5,885539.TI,20200324,1719.677,1720.704,1727.692,1669.395,1696.597,12.2623,23.08,1.3604,26253385.0,2.824504
6,885539.TI,20200323,1696.597,1725.492,1755.383,1692.951,1751.444,11.9195,-54.847,-3.1315,30344561.0,3.266837
7,885539.TI,20200320,1751.444,1732.982,1753.061,1725.336,1715.209,12.5192,36.235,2.1126,26272405.0,2.828437
8,885539.TI,20200319,1715.209,1732.437,1740.523,1676.858,1735.9,12.5714,-20.691,-1.1919,31923419.0,3.436815
9,885539.TI,20200318,1735.9,1768.502,1795.33,1735.9,1760.525,12.8489,-24.625,-1.3987,31004326.0,3.337867
10,885539.TI,20200317,1760.525,1794.041,1805.894,1703.255,1795.49,11.8834,-34.965,-1.9474,33234598.0,3.577974
11,885539.TI,20200316,1795.49,1863.084,1885.627,1789.245,1841.839,12.4775,-46.349,-2.5165,40025630.0,4.309687
12,885539.TI,20200313,1841.839,1782.491,1860.296,1782.491,1889.75,12.2645,-47.911,-2.5353,40563562.0,4.367729
13,885539.TI,20200312,1889.75,1921.266,1932.657,1880.165,1924.891,12.4002,-35.141,-1.8256,37639574.0,4.052036
14,885539.TI,20200311,1924.891,1923.88,1956.336,1917.626,1926.003,12.5952,-1.112,-0.0577,34589140.0,3.723645
15,885539.TI,20200310,1926.003,1905.609,1931.612,1854.073,1942.002,12.6546,-15.999,-0.8238,41940090.0,4.519917
16,885539.TI,20200309,1942.002,1943.474,1967.902,1933.578,1949.415,12.9631,-7.413,-0.3803,38739253.0,4.175074
17,885539.TI,20200306,1949.415,1902.428,1956.957,1900.111,1914.295,12.7345,35.12,1.8346,33597361.0,3.621876
18,885539.TI,20200305,1914.295,1909.216,1915.657,1896.338,1892.061,13.3279,22.234,1.1751,30616730.0,3.301894
19,885539.TI,20200304,1892.061,1893.54,1903.31,1863.284,1904.645,12.5301,-12.584,-0.6607,31413902.0,3.388057
20,885539.TI,20200303,1904.645,1894.525,1927.158,1894.525,1876.155,12.8169,28.49,1.5185,42108891.0,4.539334
21,885539.TI,20200302,1876.155,1843.881,1877.7,1830.756,1822.146,11.693,54.009,2.964,42176288.0,4.5466
22,885539.TI,20200228,1822.146,1822.096,1858.712,1813.393,1855.023,11.8391,-32.877,-1.7723,44018765.0,4.745218
23,885539.TI,20200227,1855.023,1864.811,1872.803,1824.741,1859.944,12.2376,-4.921,-0.2646,32172709.0,3.46823
24,885539.TI,20200226,1859.944,1917.286,1924.943,1856.548,1934.215,11.6847,-74.271,-3.8399,50041742.0,5.397153
25,885539.TI,20200225,1934.215,1877.976,1937.994,1865.34,1895.532,12.2971,38.683,2.0407,52490393.0,5.660597
26,885539.TI,20200224,1895.532,1855.27,1897.459,1855.27,1840.944,11.9887,54.588,2.9652,43709175.0,4.713625
27,885539.TI,20200221,1840.944,1820.726,1849.49,1819.366,1822.651,11.2433,18.293,1.0036,40935540.0,4.416156
28,885539.TI,20200220,1822.651,1811.76,1824.756,1793.886,1809.249,10.6385,13.402,0.7407,41558150.0,4.483324
29,885539.TI,20200219,1809.249,1842.712,1842.712,1809.249,1850.225,12.4938,-40.976,-2.2146,32855687.0,3.544496
30,885539.TI,20200218,1850.225,1840.48,1850.225,1824.652,1826.546,11.738,23.679,1.2964,39220291.0,4.231114
31,885539.TI,20200217,1826.546,1778.504,1826.753,1778.061,1763.249,12.1959,63.297,3.5898,32748663.0,3.533354
32,885539.TI,20200214,1763.249,1773.622,1787.715,1751.334,1769.555,12.6612,-6.306,-0.3564,26686214.0,2.879258
33,885539.TI,20200213,1769.555,1798.247,1799.516,1754.871,1794.564,12.551,-25.009,-1.3936,30325594.0,3.271922
34,885539.TI,20200212,1794.564,1757.235,1795.115,1757.235,1771.731,12.5901,22.833,1.2887,29153285.0,3.145438
35,885539.TI,20200211,1771.731,1781.265,1782.713,1746.58,1795.619,13.1349,-23.888,-1.3303,27138412.0,2.928132
36,885539.TI,20200210,1795.619,1836.814,1836.814,1769.311,1825.241,13.6526,-29.622,-1.6229,36508861.0,3.939168
37,885539.TI,20200207,1825.241,1858.812,1879.753,1793.074,1841.082,13.8988,-15.841,-0.8604,42002477.0,4.545967
38,885539.TI,20200206,1841.082,1787.819,1869.276,1783.668,1780.127,13.9544,60.955,3.4242,45465576.0,4.920782
39,885539.TI,20200205,1780.127,1704.446,1780.155,1700.922,1701.523,13.8867,78.604,4.6196,40784041.0,4.414095
40,885539.TI,20200204,1701.523,1624.964,1713.142,1618.918,1637.401,12.6403,64.122,3.9161,44552957.0,4.822008
41,885539.TI,20200203,1637.401,1590.304,1648.196,1582.511,1654.441,18.4932,-17.04,-1.03,20027262.0,2.167569
42,885539.TI,20200123,1654.441,1672.938,1693.367,1631.634,1667.703,12.7146,-13.262,-0.7952,32498641.0,3.531528
43,885539.TI,20200122,1667.703,1685.409,1685.409,1644.347,1675.582,11.8078,-7.879,-0.4702,29424384.0,3.198246
44,885539.TI,20200121,1675.582,1669.822,1688.927,1665.757,1646.06,13.358,29.522,1.7935,26916318.0,2.925729
45,885539.TI,20200120,1646.06,1620.561,1646.121,1612.392,1597.73,13.2056,48.33,3.0249,23451104.0,2.549053
46,885539.TI,20200117,1597.73,1592.437,1607.709,1591.311,1590.259,13.7754,7.471,0.4698,14018810.0,1.523801
47,885539.TI,20200116,1590.259,1588.856,1594.887,1581.59,1588.742,13.6498,1.517,0.0955,14217543.0,1.546034
48,885539.TI,20200115,1588.742,1589.793,1596.073,1579.799,1591.63,11.4311,-2.888,-0.1814,16921483.0,1.841454
49,885539.TI,20200114,1591.63,1596.849,1599.97,1590.695,1594.043,11.5551,-2.413,-0.1514,19226517.0,2.092296
50,885539.TI,20200113,1594.043,1580.382,1594.043,1566.711,1579.483,11.5054,14.56,0.9218,18734965.0,2.038804
51,885539.TI,20200110,1579.483,1579.968,1583.295,1570.589,1577.02,11.4117,2.463,0.1562,17761859.0,1.933009
52,885539.TI,20200109,1577.02,1552.363,1577.02,1552.363,1537.728,11.2492,39.292,2.5552,23038996.0,2.507316
53,885539.TI,20200108,1537.728,1553.802,1559.407,1535.556,1558.777,8.3341,-21.049,-1.3504,33980928.0,3.698118
54,885539.TI,20200107,1558.777,1535.155,1558.777,1535.155,1533.796,11.5081,24.981,1.6287,18999863.0,2.06774
55,885539.TI,20200106,1533.796,1523.425,1542.392,1517.226,1529.675,10.5371,4.121,0.2694,23093536.0,2.513252
56,885539.TI,20200103,1529.675,1530.319,1536.227,1521.377,1529.4,10.0683,0.275,0.018,22476627.0,2.446114
57,885539.TI,20200102,1529.4,1516.587,1529.766,1506.776,1509.228,10.6637,20.172,1.3366,21844922.0,2.377366
