,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨日收盘价,涨跌额,涨跌幅,成交量,成交额
0,002223.SZ,20200331,36.7,38.31,35.31,36.28,38.12,-1.84,-4.8269,1017275.72,3730570.619
1,002223.SZ,20200330,39.99,41.91,37.55,38.12,38.1,0.02,0.0525,1342475.02,5371842.542
2,002223.SZ,20200327,37.99,39.55,36.62,38.1,37.59,0.51,1.3567,1119281.55,4263847.814
3,002223.SZ,20200326,35.5,37.59,35.23,37.59,34.17,3.42,10.0088,1017757.05,3746077.685
4,002223.SZ,20200325,31.88,34.17,31.51,34.17,31.06,3.11,10.0129,574534.47,1893009.958
5,002223.SZ,20200324,30.9,32.25,30.33,31.06,30.96,0.1,0.323,438613.61,1367391.372
6,002223.SZ,20200323,30.56,31.88,30.09,30.96,29.39,1.57,5.342,599817.77,1862666.441
7,002223.SZ,20200320,27.95,29.6,27.8,29.39,27.45,1.94,7.0674,372255.86,1080078.575
8,002223.SZ,20200319,28.06,28.28,26.66,27.45,28.03,-0.58,-2.0692,298226.34,817969.443
9,002223.SZ,20200318,28.99,29.63,28.03,28.03,28.99,-0.96,-3.3115,262529.05,758141.043
10,002223.SZ,20200317,30.01,30.07,27.66,28.99,29.55,-0.56,-1.8951,373366.64,1070059.991
11,002223.SZ,20200316,29.28,30.83,28.91,29.55,28.58,0.97,3.394,523776.58,1568758.528
12,002223.SZ,20200313,27.66,28.97,27.5,28.58,29.75,-1.17,-3.9328,393933.54,1117568.909
13,002223.SZ,20200312,31.54,32.17,29.57,29.75,31.12,-1.37,-4.4023,356247.37,1089930.153
14,002223.SZ,20200311,31.5,32.45,30.39,31.12,31.37,-0.25,-0.7969,371858.3,1162819.937
15,002223.SZ,20200310,31.48,32.2,29.75,31.37,33.05,-1.68,-5.0832,506801.09,1560700.647
16,002223.SZ,20200309,33.0,34.84,31.99,33.05,32.23,0.82,2.5442,609158.56,2030217.566
17,002223.SZ,20200306,32.3,33.14,31.88,32.23,32.05,0.18,0.5616,337367.73,1097334.254
18,002223.SZ,20200305,32.28,32.57,31.08,32.05,32.06,-0.01,-0.0312,402252.46,1281399.868
19,002223.SZ,20200304,33.99,34.7,31.8,32.06,34.2,-2.14,-6.2573,504058.5,1649455.907
20,002223.SZ,20200303,34.75,36.19,34.12,34.2,34.7,-0.5,-1.4409,563008.67,1974954.185
21,002223.SZ,20200302,34.72,35.65,33.25,34.7,34.73,-0.03,-0.0864,611022.93,2101431.092
22,002223.SZ,20200228,32.6,35.85,32.43,34.73,33.06,1.67,5.0514,668920.25,2287280.161
23,002223.SZ,20200227,32.51,33.8,31.01,33.06,32.25,0.81,2.5116,465161.54,1498511.937
24,002223.SZ,20200226,33.63,33.89,31.5,32.25,33.06,-0.81,-2.4501,561139.94,1819192.487
25,002223.SZ,20200225,33.53,34.96,31.86,33.06,32.67,0.39,1.1938,765872.93,2565073.37
26,002223.SZ,20200224,30.96,32.67,30.57,32.67,29.7,2.97,10.0,611364.18,1948539.515
27,002223.SZ,20200221,28.3,29.98,28.02,29.7,28.08,1.62,5.7692,513373.28,1502021.387
28,002223.SZ,20200220,28.02,28.28,27.5,28.08,27.78,0.3,1.0799,283043.3,788892.447
29,002223.SZ,20200219,28.85,29.05,27.7,27.78,29.06,-1.28,-4.4047,347360.75,983352.691
30,002223.SZ,20200218,28.05,29.86,28.05,29.06,27.78,1.28,4.6076,471401.02,1376063.324
31,002223.SZ,20200217,27.09,27.93,26.98,27.78,27.19,0.59,2.1699,335339.76,928555.993
32,002223.SZ,20200214,27.9,27.92,27.16,27.19,27.9,-0.71,-2.5448,334750.69,916223.075
33,002223.SZ,20200213,28.3,28.7,27.44,27.9,28.29,-0.39,-1.3786,366121.06,1022536.359
34,002223.SZ,20200212,28.0,28.74,27.73,28.29,28.69,-0.4,-1.3942,423195.59,1194263.125
35,002223.SZ,20200211,27.99,28.88,27.11,28.69,28.16,0.53,1.8821,620116.9,1741974.484
36,002223.SZ,20200210,29.98,30.76,27.59,28.16,29.22,-1.06,-3.6277,767205.01,2194576.478
