,ts_code,trade_date,turnover_rate,volume_ratio,pe,pb
0,300760.SZ,20200717,1.5523,0.99,88.541,22.9217
1,300760.SZ,20200716,1.7617,1.06,85.8918,22.2359
2,300760.SZ,20200715,2.3762,1.63,90.1227,23.3312
3,300760.SZ,20200714,1.1293,0.68,84.7776,21.9474
4,300760.SZ,20200713,1.4417,0.81,85.5801,22.1552
5,300760.SZ,20200710,1.1594,0.63,82.7673,21.427
6,300760.SZ,20200709,2.1856,1.26,83.1023,21.5137
7,300760.SZ,20200708,1.3732,0.8,78.235,20.2537
8,300760.SZ,20200707,2.1239,1.46,77.8247,20.1474
9,300760.SZ,20200706,2.0884,1.72,75.6767,19.5914
10,300760.SZ,20200703,1.4148,1.19,77.0585,19.9491
11,300760.SZ,20200702,1.7025,1.61,75.4715,19.5382
12,300760.SZ,20200701,1.2532,1.18,77.5286,20.0708
13,300760.SZ,20200630,0.8257,0.65,79.3986,20.5549
14,300760.SZ,20200629,0.8632,0.65,78.3987,20.296
15,300760.SZ,20200624,1.2865,0.99,77.7078,20.1172
16,300760.SZ,20200623,1.0527,0.8,78.5831,20.3438
17,300760.SZ,20200622,1.2761,0.92,77.2948,20.0103
18,300760.SZ,20200619,1.8521,1.41,76.4507,19.7917
19,300760.SZ,20200618,1.1495,0.89,72.6561,18.8094
20,300760.SZ,20200617,1.1661,0.96,73.9002,19.1314
21,300760.SZ,20200616,1.1487,1.0,74.4976,19.2861
22,300760.SZ,20200615,1.61,1.52,73.4275,19.0091
23,300760.SZ,20200612,1.4824,1.69,72.1782,18.6856
24,300760.SZ,20200611,1.0166,1.21,70.8276,18.336
25,300760.SZ,20200610,0.7873,0.92,71.1211,18.412
26,300760.SZ,20200609,0.8588,1.0,70.7835,18.3246
27,300760.SZ,20200608,1.1345,1.41,70.3731,18.2183
28,300760.SZ,20200605,0.5993,0.7,71.1211,18.412
29,300760.SZ,20200604,0.8192,0.93,71.2172,18.4369
30,300760.SZ,20200603,0.8825,0.99,71.8302,18.5955
31,300760.SZ,20200602,0.8622,0.93,71.5964,18.535
32,300760.SZ,20200601,0.8635,0.93,73.0509,18.9116
33,300760.SZ,20200529,0.876,0.86,72.4119,18.7462
