,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300760.SZ,20200717,336.0,350.98,334.0,340.9,330.7,10.2,3.0844,77480.17,2653172.878
1,300760.SZ,20200716,351.96,351.96,327.01,330.7,346.99,-16.29,-4.6947,87933.94,2966963.579
2,300760.SZ,20200715,337.5,358.98,337.5,346.99,326.41,20.58,6.305,118605.42,4146954.324
3,300760.SZ,20200714,328.98,334.9,320.0,326.41,329.5,-3.09,-0.9378,56365.47,1842541.556
4,300760.SZ,20200713,318.5,331.5,317.4,329.5,318.67,10.83,3.3985,71961.37,2336939.551
5,300760.SZ,20200710,319.96,324.98,316.06,318.67,319.96,-1.29,-0.4032,57867.72,1845834.431
6,300760.SZ,20200709,302.0,322.0,301.45,319.96,301.22,18.74,6.2214,109091.77,3418562.962
7,300760.SZ,20200708,303.54,307.07,299.65,301.22,299.64,1.58,0.5273,68543.13,2073075.531
8,300760.SZ,20200707,291.05,307.71,286.88,299.64,291.37,8.27,2.8383,106012.38,3160876.989
9,300760.SZ,20200706,296.43,296.43,289.2,291.37,296.69,-5.32,-1.7931,104239.84,3035137.238
10,300760.SZ,20200703,290.14,298.5,286.0,296.69,290.58,6.11,2.1027,70618.34,2070670.337
11,300760.SZ,20200702,295.1,298.87,287.95,290.58,298.5,-7.92,-2.6533,84977.13,2481724.721
12,300760.SZ,20200701,307.0,309.55,295.12,298.5,305.7,-7.2,-2.3553,62553.93,1877869.901
13,300760.SZ,20200630,303.62,309.94,302.52,305.7,301.85,3.85,1.2755,41213.35,1263440.116
14,300760.SZ,20200629,301.05,303.98,299.19,301.85,299.19,2.66,0.8891,43086.68,1297389.107
15,300760.SZ,20200624,303.01,307.79,295.13,299.19,302.56,-3.37,-1.1138,64212.08,1920624.727
16,300760.SZ,20200623,297.62,304.23,296.14,302.56,297.6,4.96,1.6667,52542.69,1586273.862
17,300760.SZ,20200622,297.0,302.95,294.4,297.6,294.35,3.25,1.1041,63695.36,1900214.369
18,300760.SZ,20200619,281.01,296.6,281.0,294.35,279.74,14.61,5.2227,92443.84,2699426.946
19,300760.SZ,20200618,284.88,285.6,278.0,279.74,284.53,-4.79,-1.6835,57376.72,1608999.46
20,300760.SZ,20200617,287.33,290.96,284.08,284.53,286.83,-2.3,-0.8019,58205.33,1672383.614
21,300760.SZ,20200616,287.99,289.5,284.0,286.83,282.71,4.12,1.4573,57333.69,1645997.012
